type,level,det_num,iou,offset
noise,0.0,1,0.5934321924103564,0.07791004174724409
noise,0.01,1,0.6404542480499015,0.07307694031193017
noise,0.02,1,0.6734661573009632,0.05575342070823849
noise,0.05,2,0.6235412045464395,0.030514148061870885
dropout,0.0,1,0.5852526509264373,0.08000163861142365
dropout,0.2,1,0.5915239115469891,0.08627014362886516
dropout,0.3,1,0.5891659558081475,0.08130060895710224
dropout,0.5,1,0.6133362669205561,0.08463034896570194
rotate,0.0,1,0.6396641618269684,0.08364900587207798
rotate,45.0,0,0.0,0.0
rotate,90.0,0,0.0,0.0
rotate,180.0,0,0.0,0.0
